match_id,season,venue,start_date,innings,balls,batting_team,bowling_team,cur_score,crr,balls_left,wicket_left,last_5_ov,city,total_score
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,10,Janakpur Bolts,Lumbini Lions,7,4.2,110,10,7,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,11,Janakpur Bolts,Lumbini Lions,7,3.82,109,10,7,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,12,Janakpur Bolts,Lumbini Lions,8,4.0,108,10,8,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,13,Janakpur Bolts,Lumbini Lions,8,3.69,107,10,8,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,14,Janakpur Bolts,Lumbini Lions,9,3.86,106,10,9,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,15,Janakpur Bolts,Lumbini Lions,9,3.6,105,10,9,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,16,Janakpur Bolts,Lumbini Lions,9,3.38,104,10,9,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,17,Janakpur Bolts,Lumbini Lions,9,3.18,103,10,9,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,18,Janakpur Bolts,Lumbini Lions,15,5.0,102,10,15,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,19,Janakpur Bolts,Lumbini Lions,21,6.63,101,10,21,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,20,Janakpur Bolts,Lumbini Lions,21,6.3,100,10,21,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,21,Janakpur Bolts,Lumbini Lions,21,6.0,99,10,21,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,22,Janakpur Bolts,Lumbini Lions,22,6.0,98,10,22,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,23,Janakpur Bolts,Lumbini Lions,26,6.78,97,10,26,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,24,Janakpur Bolts,Lumbini Lions,30,7.5,96,10,30,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,25,Janakpur Bolts,Lumbini Lions,36,8.64,95,10,36,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,26,Janakpur Bolts,Lumbini Lions,36,8.31,94,10,36,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,27,Janakpur Bolts,Lumbini Lions,42,9.33,93,10,42,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,28,Janakpur Bolts,Lumbini Lions,42,9.0,92,10,42,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,29,Janakpur Bolts,Lumbini Lions,46,9.52,91,10,46,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,30,Janakpur Bolts,Lumbini Lions,47,9.4,90,10,47,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,31,Janakpur Bolts,Lumbini Lions,47,9.1,89,10,47,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,32,Janakpur Bolts,Lumbini Lions,48,9.0,88,10,47,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,33,Janakpur Bolts,Lumbini Lions,48,8.73,87,9,46,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,34,Janakpur Bolts,Lumbini Lions,48,8.47,86,9,46,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,35,Janakpur Bolts,Lumbini Lions,49,8.4,85,9,43,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,36,Janakpur Bolts,Lumbini Lions,55,9.17,84,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,36,Janakpur Bolts,Lumbini Lions,56,9.33,84,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,37,Janakpur Bolts,Lumbini Lions,56,9.08,83,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,38,Janakpur Bolts,Lumbini Lions,57,9.0,82,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,39,Janakpur Bolts,Lumbini Lions,57,8.77,81,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,40,Janakpur Bolts,Lumbini Lions,57,8.55,80,9,49,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,41,Janakpur Bolts,Lumbini Lions,59,8.63,79,9,51,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,42,Janakpur Bolts,Lumbini Lions,60,8.57,78,9,51,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,43,Janakpur Bolts,Lumbini Lions,61,8.51,77,9,52,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,44,Janakpur Bolts,Lumbini Lions,61,8.32,76,9,51,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,45,Janakpur Bolts,Lumbini Lions,62,8.27,75,9,52,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,46,Janakpur Bolts,Lumbini Lions,64,8.35,74,9,54,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,47,Janakpur Bolts,Lumbini Lions,65,8.3,73,9,55,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,48,Janakpur Bolts,Lumbini Lions,66,8.25,72,9,50,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,48,Janakpur Bolts,Lumbini Lions,67,8.38,72,9,50,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,48,Janakpur Bolts,Lumbini Lions,68,8.5,72,9,50,Kathmandu,136
